fitness_length,fitness_ml_metric
1,0.6524673
1,0.66668665
7,0.4456906
1,0.52967525
1,0.6115065
3,0.46372885
2,0.49674383
5,0.45222992
5,0.45441055
6,0.44871733
4,0.46278995
1,0.66668665
7,0.4456906
6,0.4468669
4,0.45705962
1,0.6115065
1,0.64675057
1,0.52967525
3,0.47762924
1,0.66013503
2,0.5032021
2,0.4909457
2,0.49674383
1,0.64675057
1,0.6524673
1,0.5101576
2,0.5032021
2,0.5081663
1,0.66086966
1,0.66465175
3,0.4870706
3,0.48196098
3,0.48523888
2,0.5081663
1,0.5101576
6,0.45058987
6,0.4468669
6,0.44871733
3,0.48523888
3,0.4870706
4,0.45523188
4,0.45705962
4,0.4610885
1,0.66506755
4,0.45918897
4,0.46075028
4,0.45774332
4,0.45918897
3,0.47891724
3,0.48033968
3,0.47762924
3,0.47891724
3,0.48042387
3,0.48159257
4,0.46278995
3,0.46372885
1,0.66013503
1,0.66086966
4,0.45774332
5,0.45157972
5,0.45222992
5,0.45459524
4,0.45523188
5,0.45095694
5,0.45157972
3,0.4905269
2,0.4909457
1,0.66465175
1,0.66506755
6,0.45058987
5,0.45095694
4,0.46075028
4,0.4610885
3,0.48176944
3,0.48196098
5,0.45441055
5,0.45459524
3,0.48159257
3,0.48176944
3,0.48033968
3,0.48042387
7,0.4456906
4,0.45705962
1,0.6115065
1,0.52967525
2,0.49674383
1,0.64675057
1,0.6524673
2,0.5032021
2,0.5081663
1,0.5101576
6,0.4468669
6,0.44871733
3,0.48523888
3,0.4870706
1,0.66668665
4,0.45918897
3,0.47762924
3,0.47891724
4,0.46278995
3,0.46372885
1,0.66013503
4,0.45774332
5,0.45222992
5,0.45459524
4,0.45523188
5,0.45157972
3,0.4905269
2,0.4909457
1,0.66465175
1,0.66506755
6,0.45058987
5,0.45095694
4,0.46075028
4,0.4610885
3,0.48196098
5,0.45441055
3,0.48159257
3,0.48176944
3,0.48033968
3,0.48042387
7,0.4456906
1,0.52967525
2,0.49674383
1,0.64675057
1,0.6524673
2,0.5032021
2,0.5081663
1,0.5101576
6,0.4468669
6,0.44871733
3,0.48523888
3,0.4870706
4,0.45705962
4,0.4610885
1,0.66668665
3,0.47762924
3,0.47891724
4,0.46278995
3,0.46372885
1,0.66013503
1,0.66086966
4,0.45774332
5,0.45222992
4,0.45523188
5,0.45157972
3,0.4905269
2,0.4909457
1,0.66465175
1,0.66506755
6,0.45058987
5,0.45095694
4,0.45918897
4,0.46075028
3,0.48196098
5,0.45441055
5,0.45459524
3,0.48159257
3,0.48176944
3,0.48033968
3,0.48042387
7,0.4456906
1,0.6115065
1,0.52967525
2,0.49674383
1,0.64675057
1,0.6524673
2,0.5032021
2,0.5081663
1,0.5101576
6,0.44871733
3,0.48523888
1,0.66668665
4,0.45918897
3,0.47762924
3,0.47891724
6,0.4468669
4,0.46278995
3,0.46372885
1,0.66013503
1,0.66086966
4,0.45705962
4,0.45774332
5,0.45222992
4,0.45523188
5,0.45095694
5,0.45157972
3,0.4905269
2,0.4909457
1,0.66465175
1,0.66506755
6,0.45058987
4,0.46075028
4,0.4610885
3,0.48196098
5,0.45441055
5,0.45459524
3,0.48159257
3,0.48176944
3,0.48033968
3,0.48042387
7,0.4456906
5,0.45222992
1,0.6115065
1,0.52967525
2,0.4909457
2,0.49674383
1,0.64675057
1,0.6524673
2,0.5032021
2,0.5081663
1,0.5101576
6,0.44871733
3,0.48523888
3,0.4870706
1,0.66506755
1,0.66668665
4,0.45918897
4,0.46075028
3,0.47762924
3,0.47891724
6,0.4468669
4,0.46278995
3,0.46372885
1,0.66013503
1,0.66086966
4,0.45705962
4,0.45774332
4,0.45523188
5,0.45157972
3,0.4905269
1,0.66465175
6,0.45058987
5,0.45095694
4,0.4610885
3,0.48196098
5,0.45441055
5,0.45459524
3,0.48176944
3,0.48033968
3,0.48042387
7,0.4456906
1,0.6115065
1,0.52967525
2,0.49674383
1,0.64675057
1,0.6524673
2,0.5032021
2,0.5081663
6,0.4468669
6,0.44871733
3,0.48523888
3,0.4870706
4,0.45705962
1,0.66668665
4,0.45918897
3,0.47762924
3,0.47891724
4,0.46278995
3,0.46372885
1,0.66013503
1,0.66086966
4,0.45774332
5,0.45222992
4,0.45523188
5,0.45095694
5,0.45157972
1,0.5101576
3,0.4905269
2,0.4909457
1,0.66465175
6,0.45058987
4,0.46075028
4,0.4610885
3,0.48196098
5,0.45441055
5,0.45459524
3,0.48159257
3,0.48176944
3,0.48033968
3,0.48042387
7,0.4456906
5,0.45222992
1,0.6115065
1,0.52967525
2,0.4909457
2,0.49674383
1,0.64675057
1,0.6524673
2,0.5032021
2,0.5081663
1,0.5101576
6,0.44871733
3,0.48523888
3,0.4870706
4,0.45705962
1,0.66668665
4,0.45918897
6,0.4468669
4,0.46278995
